,Cabin,People
155,D-21,"Kenyon, Mr Frederick R. Kenyon, Mrs Frederick R. (Marion)"
156,D-22,"Borebank, Mr John James"
157,D-26,"White, Mr Percival Wayland White, Mr Richard Frasar"
158,D-28,"Lines, Mrs Ernest H. (Elizabeth Lindsey James) Lines, Miss Mary Conover"
159,D-30,"Marvin, Mr Daniel Warner Marvin, Mrs Daniel Warner"
160,D-31,"Eastman, Miss Anne K. [Did not board] Lewis, Mrs Charlton T. [Did not board]"
161,D-32,"Wood,Mr Frank P. [Did not board] Wood, Mrs Frank P. [Did not board]"
162,D-33,"Harper, Mr Henry Sleeper Harper, Mrs Henry Sleeper (Myna Haxtun) Hassab, Mr Hammad [dragoman to Henry Sleeper Harper]"
163,D-34,"Franklin, Mr Thomas Parnham"
164,D-35,"Beckwith, Mr Richard Leonard Beckwith, Mrs Richard Leonard (Sallie Monypeny)"
165,D-36,"Newell, Miss Madeleine Newell, Miss Marjorie"
166,D-37,"Warren, Mr Frank Manley Warren, Mrs Frank Manley (Anna S. Atkinson)"
167,D-38 (?),"Nourney, Mr Alfred (""Baron von Drachstedt"")"
168,D-40,"Frauenthal, Mr Isaac Gerald"
169,D-43,"Ovies y Rodriguez, Mr Servando"
170,D-44,"Keeping, Mr Edwin Herbert [valet to Mr Widener] Geiger, Miss Amalie (""Emily _"") [maid to Mrs Widener]"
171,D-45,"Hawksford, Mr Walter James"
172,D-46,"Walker, Mr William Anderson"
173,D-47,"Newsom, Miss Helen Monypeny"
174,D-48,"Newell, Mr Arthur Webster"
175,D-49 (?),"Hassab, Mr Hammad [dragoman to Henry Sleeper Harper]"
176,D-50,"Sutton, Mr Frederick"
177,E Deck,"Has a total of 71 cabins, being able to accommodate 184 passengers."
178,E-8,"Chambers, Mr Norman Campbell Chambers, Mrs Norman Campbell (Bertha Griggs)"
179,E Deck (?E-10),"Kreuchen, Miss Emilie [maid to Mrs Robert]"
180,E-12,"Anderson, Mr Harry"
181,E-17,"Daly, Mr Peter Denis"
182,E-22 (?),"Gibson, Mrs Leonard (Pauline C. Boeson) Gibson, Miss Dorothy Winifred"
183,E-23 (?),A first class unaccompanied lady.
184,E-24,"Calderhead, Mr Edward P."
185,"Silverthorne, Mr Spencer Victor",Cave List
186,E-25,"Flynn, Mr John Irwin (?Irving)"
187,"McGough, Mr James Robert",Cave List
188,E-31,"Chaffee, Mr Herbert Fuller Chaffee, Mrs Herbert Fuller "
189,E-33,"Chibnall, Mrs Edith Martha Bowerman, Miss Elsie Edith"
190,E-34,"Spedden, Mr Frederic Oakley Spedden, Mrs Frederic Oakley"
191,E-36,"Francatelli, Miss Laura Mabel [maid to Lady Duff Gordon]"
192,E-39 or E-41,"Wilson, Miss Helen Alice [maid to Mrs Spedden]"
193,E-37,"Lawrence, Mr Arthur [Did not board]"
194,E-38,"Millet, Mr Francis Davis"
195,E-40,"Burns, Miss Elizabeth Margaret [nurse to Master Spedden]"
196,E-40,"Spedden, Master Robert Douglas"
197,E-44,"Silvey, Mr William Baird Silvey, Mrs William Baird"
198,E-45,"Compton, Mrs Alexander Taylor "
199,E-46,"Hilliard, Mr Herbert Henry McCarthy, Mr Timothy J."
200,E-49,"Compton, Miss Sara Rebecca"
201,E-50,"Harder, Mr George Achilles Harder, Mrs George Achilles "
202,E-52,"Compton, Mr Alexander Taylor jr"
203,E-58,"Colley, Mr Edward Pomeroy"
204,E-60,"Julian, Mr Henry Forbes"
205,E-63,"Gee, Mr Arthur H."
206,E-66,"Case, Mr Howard Brown"
207,E-67,"Taussig, Mr Emil Taussig, Mrs Emil (Tillie Mandelbaum)"
208,E-68,"Taussig, Miss Ruth"
209, , 
210,D Deck, 
211,D-56,"Beesley, Mr Lawrence"
212,E Deck, 
213,E-77 (?),"Mack, Mrs Mary"
214,E 101 (?),"Troutt, Miss Edwina Celia ""Winnie"" Webber, Miss Susan Keane, Miss Nora A."
215,F Deck, 
216,F-2 (?),"Navratil, Mr Michel (""Hoffman"") Navratil, Master Edmond Roger Navratil, Master Michel M."
217,F-4 (?),"Becker, Mrs Allen Oliver  Becker, Miss Marion Louise Becker, Master Richard F. Becker, Miss Ruth Elizabeth"
218,F-33 (?),"Nye, Mrs Elizabeth Ramell Brown, Miss Amelia (Mildred) [cook to Mr Allison] Lemore, Mrs Amelia Cook, Mrs Selena Rogers"
219,Unknown Deck, 
220,69 (?),"Joseph / Peter, Mrs  Joseph / Peter, Master Michael J. Joseph / Peter, Miss Anna "
221,D Deck, 
222,135,"Hellström, Miss Hilda Maria"
223,E Deck, 
224,11,"Theobald, Mr Thomas Leonard"
225,121,"Moor, Mrs Beila Moor, Master Meier"
226,126,"Sage, Master William Henry (and possibly others from the Sage family)"
227,161,"Gilnagh, Miss Katherine ""Katie"" Mullen, Miss Katherine ""Katie"" (""_Mullins"") Murphy, Miss Margaret Jane (""Mary"") Miss Katherine ""Kate"""
228,F Deck, 
229,38 (?),"Tobin, Mr Roger"
230,46 (?),"Mardirosian, Mr Sarkis (+ three other steerage)"
231,57 (?),"Krekorian, Mr Neshan"
232,63 (?),"Abelseth, Mr Olaus Jørgensen Humblen, Mr Adolf Mathias Nicolai Olsen"
233,73 (?),"Moen, Mr Sigurd Hansen Søholt, Mr Peter Andreas Lauritz Andersen"
234,G Deck, 
235,6 (?)," Sandström, Mrs Hjalmar  Sandström, Miss Beatrice Irene Sandström, Miss Marguerite Rut "
236," Ström, Mrs Wilhelm (Elna Matilda Persson) Ström, Miss Telma (Selma) Matilda ",Immigration Ticket
237,10 (?),"Pickard (Trembisky), Mr Berk"
